variable,0,1,2,3
10y_2y_spread,0.0002,-0.0020,-0.0016,0.0001
10y_treasury_const_maturity_rate,-0.0031,-0.0010,-0.0039*,-0.0004
PCE_price_index,0.0011,0.0021,0.0030,-0.0001
PPI_inflation,0.0004,0.0013,0.0017,-0.0009
cpi,0.0010,0.0021,0.0029,-0.0002
fed_reserve_discount_rate,-0.0038*,-0.0021,-0.0033,-0.0018
fedfunds,-0.0025,0.0003,-0.0026,-0.0004
gdp,0.0051,0.0064*,0.0059*,0.0014
industrial_production,-0.0011,-0.0009,-0.0002,-0.0028
m2_real_money_supply,0.0016,0.0021,0.0041**,0.0001
nat_fin_condition_indx,0.0007,-0.0032,-0.0014,0.0002
real_gdp,0.0044,0.0055,0.0047,0.0003
retail_sales,0.0005,0.0018,0.0024,-0.0008
tot_business_inventories,0.0008,0.0022,0.0026,-0.0005
unemployment,0.0046**,0.0018,0.0034,0.0046**
